Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
Pompey,1794,,Onondaga,"7,080",66.378,0.097,"42.920118, -75.987654",3606759036,979383
Portage,1827,Nunda,Livingston,763,26.399,0.236,"42.559566, -77.994897",3605159179,979385
Porter,1812,Cambria,Niagara,"6,513",33.055,4.659,"43.257885, -78.970237",3606359267,979386
Portland,1813,Chautauqua,Chautauqua,"4,309",34.116,0.064,"42.370198, -79.460235",3601359421,979388
Portville,1837,Olean,Cattaraugus,"3,504",35.580,0.448,"42.058997, -78.349923",3600959509,979389
Potsdam,1806,Madrid,St. Lawrence,"14,901",101.403,2.049,"44.681716, -75.037123",3608959575,979390
Potter,1832,Middlesex,Yates,"1,858",37.238,0.000,"42.714053, -77.180665",3612359597,979391
Poughkeepsie,1788,Poughkeepsie Precinct,Dutchess,"45,471",28.514,2.630,"41.668590, -73.909694",3602759652,979393
Pound Ridge,1788,,Westchester,"5,082",22.638,0.803,"41.212382, -73.583842",3611959685,979394
Prattsburgh,1813,Pulteney,Steuben,"1,983",51.666,0.050,"42.536924, -77.332353",3610159718,979395
Prattsville,1824,Windham,Greene,774,19.627,0.106,"42.319673, -74.413796",3603959751,979396
Preble,1818,Tully,Cortland,"1,357",26.845,0.715,"42.743388, -76.131743",3602359773,979397
Preston,1806,Norwich,Chenango,895,34.876,0.171,"42.503326, -75.610357",3601759817,979398
Princetown,1798,Schenectady,Schenectady,"2,024",23.924,0.287,"42.810065, -74.078398",3609359861,979399
Providence,1796,Galway,Saratoga,"2,075",43.996,1.098,"43.117124, -74.044548",3609159949,979400
Pulteney,1808,Bath,Steuben,"1,258",33.137,3.317,"42.525381, -77.202981",3610159982,979401
Putnam,1806,Westfield,Washington,567,32.791,2.627,"43.746887, -73.417527",3611560092,979402
Putnam Valley,1839,Philipstown,Putnam,"11,762",41.175,1.605,"41.397661, -73.839130",3607960147,979403
Queensbury,1788,Queensbury township,Warren,"29,169",62.830,2.009,"43.367580, -73.674127",3611360356,979405
Ramapo,1791,Haverstraw,Rockland,"148,919",61.198,0.696,"41.140772, -74.104976",3608760510,979406
Randolph,1826,Conewango,Cattaraugus,"2,469",36.064,0.223,"42.134227, -78.999392",3600960587,979407
Rathbone,1856,"Addison, Cameron and Woodhull",Steuben,"1,093",36.017,0.102,"42.129144, -77.344420",3610160653,979408
Reading,1806,Wayne,Schuyler,"1,719",27.149,0.000,"42.419776, -76.938604",3609760763,979409
Red Hook,1812,Rhinebeck,Dutchess,"9,953",36.169,3.871,"42.017297, -73.887226",3602760905,979411
Red House,1869,Salamanca,Cattaraugus,27,55.668,0.188,"42.069945, -78.735256",3600960950,979412
Redfield,1800,Mexico,Oswego,476,89.817,3.606,"43.587290, -75.828862",3607560873,979410
Remsen,1798,Norway,Oneida,"1,761",35.465,1.490,"43.366186, -75.145858",3606561126,979413
Rensselaerville,1790,Watervliet,Albany,"1,826",61.464,0.420,"42.479477, -74.178608",3600161181,979415
Rhinebeck,1788,Rhinebeck Precinct,Dutchess,"7,596",35.682,4.068,"41.926515, -73.901901",3602761357,979416
Richfield,1792,Otsego,Otsego,"2,065",30.858,1.598,"42.851319, -75.047690",3607761467,979417
Richford,1831,Berkshire,Tioga,"1,043",38.187,0.019,"42.374929, -76.194015",3610761511,979418
Richland,1807,Williamstown,Oswego,"5,637",57.248,2.801,"43.547529, -76.150737",3607561533,979419
Richmond,1796,,Ontario,"3,360",42.432,1.960,"42.792188, -77.524422",3606961544,978648
Richmondville,1849,Cobleskill,Schoharie,"2,466",30.160,0.065,"42.638725, -74.549064",3609561599,979421
Ridgeway,1812,Batavia,Orleans,"6,598",50.026,0.216,"43.262390, -78.376743",3607361742,979422
Riga,1808,Northampton,Monroe,"5,586",34.962,0.266,"43.077283, -77.872558",3605561808,979423
Ripley,1817,Portland,Chautauqua,"2,323",48.763,0.104,"42.228753, -79.699933",3601361885,979424
Riverhead,1792,Southold,Suffolk,"35,902",67.426,133.841,"40.977130, -72.709075",3610361984,979425
Rochester,1788,Rochester Patent,Ulster,"7,272",89.303,0.416,"41.813814, -74.271498",3611163011,979427
Rockland,1910,Neversink,Sullivan,"3,290",94.156,1.114,"41.962793, -74.789085",3610563176,979428
Rodman,1804,Adams,Jefferson,"1,197",42.227,0.053,"43.843311, -75.901890",3604563341,979429
Romulus,1794,,Seneca,"3,203",37.792,13.591,"42.713496, -76.830175",3609963440,979431
Root,1823,Charleston,Montgomery,"2,013",50.624,0.426,"42.842974, -74.486200",3605763561,979432
Rose,1826,Wolcott,Wayne,"2,291",33.896,0.006,"43.159574, -76.900163",3611763605,979433
Roseboom,1854,Cherry Valley,Otsego,690,33.407,0.104,"42.726358, -74.711108",3607763638,979434
Rosendale,1844,"Hurley, Marbletown and New Paltz",Ulster,"5,782",19.979,0.767,"41.847090, -74.079545",3611163737,979435
Rossie,1813,Russell,St. Lawrence,799,37.880,1.363,"44.325191, -75.623823",3608963858,979436
Rotterdam,1820,Schenectady,Schenectady,"30,523",35.692,0.768,"42.812110, -74.012038",3609363935,979437
Roxbury,1799,Stamford,Delaware,"2,247",87.114,0.490,"42.308761, -74.528839",3602564001,979438
Royalton,1817,Hartland,Niagara,"7,517",69.966,0.311,"43.151820, -78.554307",3606364034,979439
Rush,1818,Avon,Monroe,"3,490",30.332,0.373,"42.971329, -77.673143",3605564144,979440
Rushford,1816,Caneadea,Allegany,"1,079",35.294,0.790,"42.393073, -78.250648",3600364166,979441
Russell,1807,Hopkinton,St. Lawrence,"1,872",96.675,0.618,"44.402017, -75.140740",3608964221,979442
Russia,1806,Norway,Herkimer,"2,269",56.962,3.456,"43.304033, -75.069132",3604364254,979443
Rutland,1802,Watertown,Jefferson,"3,038",45.103,0.275,"43.943967, -75.786233",3604564265,979444
Rye,1788,,Westchester,"49,613",6.919,0.435,"41.005831, -73.687696",3611964320,979446
Salamanca,1854,Little Valley,Cattaraugus,470,18.391,0.001,"42.174412, -78.805947",3600964760,979451
Salem,1788,Salem township,Washington,"2,612",52.362,0.058,"43.160157, -73.322777",3611564782,979452
Salina,1809,Manlius and Onondaga,Onondaga,"33,223",13.750,1.311,"43.104764, -76.171345",3606764815,979453
Salisbury,1797,Palatine,Herkimer,"1,830",107.366,0.835,"43.221999, -74.800865",3604364837,979454
Sand Lake,1812,Greensush and Berlin,Rensselaer,"8,348",35.049,1.120,"42.630352, -73.542926",3608365013,979455
Sandy Creek,1825,Richland,Oswego,"3,813",42.284,4.157,"43.630705, -76.123570",3607565079,979456
Sanford,1821,Windsor,Broome,"2,239",90.098,0.924,"42.091134, -75.496193",3600765112,979457
Sangerfield,1795,Paris,Oneida,"2,327",30.802,0.179,"42.891607, -75.380220",3606565134,979458
Santa Clara,1888,Brandon,Franklin,332,174.417,17.292,"44.499084, -74.363864",3603365178,979459
Saranac,1824,Plattsburgh,Clinton,"3,852",115.286,0.661,"44.654271, -73.809920",3601965211,979460
Saratoga,1788,Saratoga district,Saratoga,"5,808",40.562,2.339,"43.053058, -73.650366",3609165244,979461
Sardinia,1821,Concord,Erie,"2,716",50.175,0.233,"42.557155, -78.531553",3602965277,979463
Saugerties,1811,Kingston,Ulster,"19,038",64.574,3.386,"42.091943, -73.990006",3611165299,979464
Savannah,1824,Galen,Wayne,"1,632",35.968,0.211,"43.079337, -76.754525",3611765343,979465
Scarsdale,1788,,Westchester,"18,253",6.660,0.008,"40.992048, -73.780629",3611965442,979466
Schaghticoke,1788,Schaghticoke district,Rensselaer,"7,445",49.747,2.114,"42.883991, -73.610736",3608365486,979467
Schodack,1795,Rensselaerwyck,Rensselaer,"12,965",61.927,1.676,"42.531451, -73.683163",3608365541,979469
Schoharie,1788,United Districts of Duanesburgh and Schoharie,Schoharie,"3,107",29.830,0.129,"42.679620, -74.312894",3609565596,979470
Schroeppel,1832,Volney,Oswego,"7,969",42.201,0.996,"43.257590, -76.276426",3607565618,979471
Schroon,1804,Crown Point,Essex,"1,880",132.678,8.732,"43.855433, -73.761629",3603165629,979472
Schuyler,1792,Herkimer,Herkimer,"3,296",39.874,0.358,"43.112509, -75.096412",3604365695,979473
Schuyler Falls,1848,Plattsburgh,Clinton,"4,843",36.517,0.302,"44.659745, -73.584421",3601965717,979474
Scio,1823,Angelica,Allegany,"1,614",35.295,0.039,"42.147968, -77.992253",3600365772,979475
Scipio,1794,,Cayuga,"1,531",36.558,2.751,"42.790136, -76.571551",3601165816,979476
Scott,1815,Preble,Cortland,"1,077",22.267,0.147,"42.737658, -76.235848",3602365915,979477
Scriba,1811,Volney,Oswego,"6,617",40.571,3.342,"43.457249, -76.419713",3607565992,979478
Sempronius,1799,Scipio,Cayuga,840,29.339,0.379,"42.740769, -76.327202",3601166278,979479
Seneca,1793,,Ontario,"2,644",50.450,0.000,"42.833118, -77.073631",3606966289,979480
Seneca Falls,1829,Junius,Seneca,"9,027",24.217,3.242,"42.911496, -76.790451",3609966333,979481
Sennett,1827,Aurelius and Brutus,Cayuga,"3,304",28.820,0.024,"42.977578, -76.518365",3601166443,979482
Seward,1840,Sharon,Schoharie,"1,583",36.377,0.079,"42.708203, -74.582782",3609566542,979483
Shandaken,1804,Woodstock,Ulster,"2,866",119.784,0.058,"42.027684, -74.359949",3611166597,979484
Sharon,1797,Schoharie,Schoharie,"1,697",39.062,0.098,"42.776929, -74.613153",3609566641,979485
Shawangunk,1788,Shawangunk Precinct,Ulster,"13,563",56.056,0.494,"41.632207, -74.265852",3611166674,979486
Shelby,1818,Ridgeway,Orleans,"4,907",46.390,0.339,"43.173342, -78.386811",3607366751,979487
Sheldon,1808,Batavia,Wyoming,"2,367",47.348,0.025,"42.746076, -78.376579",3612166773,979488
Shelter Island,1788,Shelter Island Patent,Suffolk,"3,253",12.165,16.944,"41.064875, -72.319266",3610366839,979489
Sherburne,1795,Paris,Chenango,"3,973",43.554,0.020,"42.693974, -75.481214",3601766894,979490
Sheridan,1827,Hanover and Pomfret,Chautauqua,"2,564",37.252,0.051,"42.489629, -79.225464",3601366916,979491
Sherman,1824,Mina,Chautauqua,"1,622",36.271,0.130,"42.135974, -79.579860",3601366960,979492
Sidney,1801,Franklin,Delaware,"5,536",49.928,0.675,"42.306706, -75.276026",3602567345,979495
Skaneateles,1830,Marcellus,Onondaga,"7,112",42.606,6.220,"42.889641, -76.411805",3606767521,979496
Smithfield,1807,Cazenovia,Madison,"1,127",24.274,0.086,"42.964853, -75.664275",3605367785,979497
Smithtown,1788,Smithtown Patent,Suffolk,"116,296",53.698,57.752,"40.919217, -73.179119",3610368000,979498
Smithville,1808,Greene,Chenango,"1,255",50.445,0.481,"42.412034, -75.757510",3601768055,979499
Smyrna,1808,Sherburne,Chenango,"1,237",42.087,0.076,"42.687973, -75.615788",3601768110,979500
Sodus,1789,District of Sodus,Wayne,"8,028",67.268,1.979,"43.218114, -77.049402",3611768220,979501
Solon,1798,Homer,Cortland,"1,063",29.651,0.076,"42.614497, -76.021213",3602368264,979502
Somers,1788,,Westchester,"21,541",29.642,2.518,"41.304384, -73.722774",3611968308,979503
Somerset,1823,Hartland,Niagara,"2,597",37.108,0.063,"43.335736, -78.548106",3606368330,979504
South Bristol,1838,Bristol,Ontario,"1,641",38.973,3.051,"42.695179, -77.405203",3606968660,979506
South Valley,1847,Randolph,Cattaraugus,250,36.840,0.247,"42.045260, -79.002709",3600969870,979510
Southampton,1788,Southampton Patent,Suffolk,"69,036",139.195,154.510,"40.880463, -72.459056",3610368473,979505
Southeast,1788,South East Precinct,Putnam,"18,058",31.734,3.245,"41.408190, -73.600783",3607968924,979507
Southold,1788,Southold Patent,Suffolk,"23,732",53.783,349.917,"41.138956, -72.318687",3610369463,979508
Southport,1822,Elmira,Chemung,"9,691",46.414,0.426,"42.049974, -76.877424",3601569617,979509
Spafford,1811,"Marcellus, Sempronius and Tully",Onondaga,"1,588",32.698,6.518,"42.829700, -76.289228",3606770057,979511
Sparta,1789,,Livingston,"1,583",27.791,0.000,"42.627796, -77.697587",3605170101,979512
Spencer,1806,Owego,Tioga,"2,968",49.550,0.326,"42.221933, -76.469262",3610770178,979513
Springfield,1797,Cherry Valley,Otsego,"1,346",42.894,2.614,"42.833390, -74.866643",3607770310,979514
Springport,1823,Aruelius and Scipio,Cayuga,"2,227",21.399,5.431,"42.852667, -76.672327",3601170376,979515
Springwater,1816,Naples and Sparta,Livingston,"2,286",53.105,0.013,"42.623129, -77.573945",3605170475,979516
St. Armand,1844,Wilmington,Essex,"1,446",56.511,0.934,"44.371394, -74.013405",3603164529,979447
St. Johnsville,1838,Oppenheim,Montgomery,"2,598",16.841,0.518,"43.004228, -74.680656",3605764650,979448
Stafford,1820,Batavia and Le Roy,Genesee,"2,424",31.097,0.179,"42.993829, -78.083947",3603770607,979517
Stamford,1792,,Delaware,"2,000",48.505,0.106,"42.339032, -74.665791",3602570629,979518
Stanford,1793,Washington,Dutchess,"3,682",49.637,0.649,"41.898802, -73.673133",3602770662,979519
Stark,1828,Danube,Herkimer,714,31.833,0.003,"42.927935, -74.824074",3604370794,979520
Starkey,1824,Reading,Yates,"3,407",32.831,6.375,"42.523656, -76.944782",3612370816,979521
Stephentown,1788,Stephentown district,Rensselaer,"2,791",57.880,0.196,"42.554474, -73.410846",3608371102,979523
Sterling,1812,Cato,Cayuga,"3,221",45.454,1.661,"43.315061, -76.658710",3601171146,979524
Steuben,1792,Whitestown,Oneida,"1,081",42.653,0.048,"43.352758, -75.263978",3606571212,979525
Stillwater,1788,Halfmoon district,Saratoga,"9,022",41.191,2.383,"42.968809, -73.687249",3609171333,979526
Stockbridge,1836,"Augusta, Lenox, Smithfield and Vernon",Madison,"1,972",31.655,0.000,"42.986010, -75.591615",3605371399,979527
Stockholm,1806,Massena,St. Lawrence,"3,816",93.897,0.392,"44.745612, -74.855877",3608971410,979528
Stockport,1833,"Ghent, Hudson and Stuyvesant",Columbia,"2,670",11.648,1.505,"42.316875, -73.755319",3602171443,979529
Stockton,1821,Chautauqua,Chautauqua,"2,044",47.160,0.489,"42.299455, -79.356732",3601371476,979530
Stony Creek,1852,Athol,Warren,758,82.162,1.042,"43.415025, -74.027450",3611371641,979531
Stony Point,1865,Heverstraw,Rockland,"14,813",27.624,3.975,"41.251644, -74.004151",3608771674,979532
Stratford,1805,Palatine,Fulton,538,74.876,1.795,"43.209651, -74.610052",3603571784,979533
Stuyvesant,1823,Kinderhook,Columbia,"1,931",25.004,1.745,"42.397099, -73.752982",3602171850,979534
Sullivan,1803,Cazenovia,Madison,"14,794",73.163,0.199,"43.090651, -75.883413",3605371993,979535
Summerhill,1831,Locke,Cayuga,"1,108",25.861,0.123,"42.652705, -76.321053",3601172037,979536
Summit,1819,Cobleskill and Jefferson,Schoharie,"1,072",37.085,0.399,"42.574096, -74.598793",3609572070,979537
Sweden,1814,Murray,Monroe,"13,244",33.679,0.152,"43.176584, -77.925596",3605572455,979538
Taghkanic,1803,Livingston,Columbia,"1,231",39.972,0.166,"42.134165, -73.677782",3602173077,979540
Taylor,1849,Solon,Cortland,452,29.995,0.124,"42.595600, -75.918781",3602373220,979541
Theresa,1841,Alexandria,Jefferson,"2,648",64.943,4.789,"44.262166, -75.774289",3604573528,979542
Thompson,1803,Mamakating,Sullivan,"16,550",84.089,3.408,"41.647897, -74.676992",3610573627,979543
Throop,1859,"Aurelius, Mentz and Sennett",Cayuga,"1,831",18.586,0.111,"42.983620, -76.618881",3601173770,979544
Thurman,1852,Athol,Warren,"1,095",91.098,1.678,"43.491968, -73.985941",3611373814,979545
Thurston,1844,Cameron,Steuben,"1,253",36.353,0.165,"42.225195, -77.278932",3610173836,979546
Ticonderoga,1804,Crown Point,Essex,"4,789",81.433,7.012,"43.836623, -73.552805",3603173891,979547
Tioga,1788,,Tioga,"4,440",58.620,0.839,"42.106190, -76.368903",3610773968,979548
Tompkins,1806,Franklin,Delaware,"1,290",98.133,6.314,"42.115953, -75.273488",3602574111,979549
